Character,Player,Opponent,Tournament,TournamentNumber
Anna,Squid,Parappa,UFD4,4
Sendou,Parappa,Squid,UFD4,4
Rogue,Dcint,Tension,UFD4,4
Gyanta,Tension,Dcint,UFD4,4
Hatoyan,Cosmic,Poke,UFD4,4
Kyanta,Dcint,Poke,UFD4,4
Cocorn,Poke,Dcint,UFD4,4
Anna,Jawn,Parappa,UFD4,4
Tsuki,Parappa,Jawn,UFD4,4
Gyanta,Tension,Cosmic,UFD4,4
Cocorn,Cosmic,Tension,UFD4,4
Sendou,Cosmic,Squid,UFD4,4
Gyanta,Squid,Cosmic,UFD4,4
Hatoyan,Parappa,Dcint,UFD4,4
Chihiro,Dcint,Parappa,UFD4,4
Hisomi,Jawn,Tension,UFD4,4
Tsuki,Tension,Jawn,UFD4,4
Hatoyan,Cosmic,Dcint,UFD4,4
M. Michelle,Dcint,Cosmic,UFD4,4
Gyanta,Tension,Dcint,UFD4,4
Anna,Dcint,Tension,UFD4,4
Gyanta,Jawn,Dcint,UFD4,4
Rare,Dcint,Jawn,UFD4,4
Gyanta,Jawn,Dcint,UFD4,4
Rare,Dcint,Jawn,UFD4,4
Kyanta,Dcint,Poke,UFD5,5
Gyanta,Poke,Dcint,UFD5,5
Sendou,Cosmic,Squid,UFD5,5
Azuma,Squid,Cosmic,UFD5,5
Rogue,Jawn,Tension,UFD5,5
Tsuki,Tension,Jawn,UFD5,5
Gyanta,Boog,Parappa,UFD5,5
Cocorn,Parappa,Boog,UFD5,5
Sendou,Dcint,Squid,UFD5,5
Kyanta,Squid,Dcint,UFD5,5
Anna,Jawn,Parappa,UFD5,5
Robo Azuma,Parappa,Jawn,UFD5,5
Azuma,Poke,Cosmic,UFD5,5
Kyanta,Cosmic,Poke,UFD5,5
Tsuki,Tension,Boog,UFD5,5
Rogue,Boog,Tension,UFD5,5
Gyanta,Boog,Dcint,UFD5,5
Tsuki,Dcint,Boog,UFD5,5
Tsuki,Poke,Jawn,UFD5,5
Well Done,Jawn,Poke,UFD5,5
Rogue,Cosmic,Tension,UFD5,5
Gyanta,Tension,Cosmic,UFD5,5
Well Done,Boog,Poke,UFD5,5
Hatoyan,Poke,Boog,UFD5,5
Azuma,Boog,Cosmic,UFD5,5
Tsuki,Cosmic,Boog,UFD5,5
Tsuki,Tension,Boog,UFD5,5
Hisomi,Boog,Tension,UFD5,5
Tsuki,Tension,Boog,UFD5,5
Hisomi,Boog,Tension,UFD5,5
Gyanta,Tension,Poke,UFD6,6
Hisomi,Poke,Tension,UFD6,6
Kyanta,Cosmic,Squid,UFD6,6
Sendou,Squid,Cosmic,UFD6,6
K. Kyanta,Jawn,Dwarl,UFD6,6
Tsuki,Dwarl,Jawn,UFD6,6
Garasha,Dwarl,Squid,UFD6,6
Kyanta,Squid,Dwarl,UFD6,6
Cocorn,Dcint,Tension,UFD6,6
Sendou,Tension,Dcint,UFD6,6
M. Michelle,Jawn,Cosmic,UFD6,6
Robo Azuma,Cosmic,Jawn,UFD6,6
Kyanta,Cosmic,Poke,UFD6,6
Tsuki,Poke,Cosmic,UFD6,6
Kyanta,Tension,Dwarl,UFD6,6
Hisomi,Dwarl,Tension,UFD6,6
Rare,Dcint,Jawn,UFD6,6
Cocorn,Jawn,Dcint,UFD6,6
Hisomi,Cosmic,Tension,UFD6,6
Tsuki,Tension,Cosmic,UFD6,6
Anna,Dcint,Tension,UFD6,6
Gyanta,Tension,Dcint,UFD6,6
Gyanta,Jawn,Dcint,UFD6,6
Rare,Dcint,Jawn,UFD6,6
Anna,Cosmic,Tension,UFD7,7
Tsuki,Tension,Cosmic,UFD7,7
Sendou,Jawn,Squid,UFD7,7
Tsuki,Squid,Jawn,UFD7,7
Anna,Boog,Parappa,UFD7,7
Tsuki,Parappa,Boog,UFD7,7
Kyanta,Dcint,TricksterPriest,UFD7,7
Tsuki,TricksterPriest,Dcint,UFD7,7
Jakor,TricksterPriest,Cosmic,UFD7,7
