Character-Groove,Rating
Kyanta-EX,1491.4452720218314
Anna-EX,1465.0243081626722
Myusha-EX,1465.0198071859127
Dr. K-EX,1466.233951633378
Masako-Stamina,1521.1267504454065
Natanee-Demon,1479.9514730489482
Garasha-Stamina,1515.0136372865577
Michelle-EX,1493.5065875696869
Natanee-Stamina,1532.6364058629242
Myusha-Speed,1498.662596773712
Jakor-Stamina,1460.4569903398383
Robo Azuma-Stamina,1455.1275177976104
Masao-Stamina,1528.6923840273564
Michelle-Stamina,1515.7648423226883
K. Kyanta-Stamina,1538.1408144465604
Nanatsu-Stamina,1524.1320018614938
Robo Azuma-EX,1524.0132322618365
Myusha-Stamina,1474.4849617499362
Azuma-EX,1532.8100528987284
M. Michelle-EX,1509.7277557851023
Chihiro-Stamina,1544.7781348252934
Rogue-Demon,1484.4628121738613
Cocorn-Parry,1484.8729788290054
Garasha-EX,1499.7161630663493
Jakor-EX,1536.6987483946773
Zacky Wild-Stamina,1492.4921374386934
Blues-Stamina,1492.6019522804936
Hatoyan-Demon,1503.0354363468862
Kyanta-Stamina,1475.2787574945426
Cocorn-Stamina,1499.8431685951841
Buttobi-Stamina,1499.842802495728
Rare-EX,1497.4721560578143
Spike-Parry,1479.4001898266222
Hatoyan-Super,1517.5332186926682
