Character-Groove,Rating
Kyanta-EX,1484.5772245802664
Anna-EX,1438.444734520919
Myusha-EX,1440.5449809765134
Dr. K-EX,1444.7077076450155
Masako-Stamina,1538.3514375257585
Natanee-Demon,1457.059393038377
Garasha-Stamina,1524.0958060921716
Michelle-EX,1489.5899948722313
Natanee-Stamina,1566.444539854538
Myusha-Speed,1495.2012718746462
Jakor-Stamina,1430.9429070871674
Robo Azuma-Stamina,1419.7016991921448
Masao-Stamina,1549.2686787054395
Michelle-Stamina,1524.7067873581043
K. Kyanta-Stamina,1569.315922262984
Nanatsu-Stamina,1541.3305955639328
Robo Azuma-EX,1541.1523613790962
Myusha-Stamina,1453.5452070543138
Azuma-EX,1555.5684977423168
M. Michelle-EX,1514.9024818547625
Chihiro-Stamina,1583.2758978821337
Rogue-Demon,1468.3620141662627
Cocorn-Parry,1471.768067925144
Garasha-EX,1504.8481872949296
Jakor-EX,1569.3290745251477
Zacky Wild-Stamina,1486.8894796800546
Blues-Stamina,1487.0757164605561
Hatoyan-Demon,1501.7287318964195
Kyanta-Stamina,1458.5258445734712
Cocorn-Stamina,1500.2215737142228
Buttobi-Stamina,1500.2127719522819
Rare-EX,1488.300240330031
Spike-Parry,1463.4913431005014
Hatoyan-Super,1536.518827318145
