Character,Rating
Kyanta,1467.5327618424446
Anna,1464.983301477662
Myusha,1443.983588082377
Dr. K,1465.7596513367534
Masako,1520.9197659356987
Natanee,1503.4875010799965
Garasha,1508.1838500681185
Michelle,1511.236596808466
Jakor,1495.2234754694925
Masao,1526.4655201795701
Robo Azuma,1493.9638153679452
K. Kyanta,1536.4746257286856
Nanatsu,1524.3534854893348
Azuma,1532.8832321680798
M. Michelle,1509.6053749211774
Chihiro,1545.5943447044572
Rogue,1483.4016939913454
Cocorn,1485.1048758764548
Zacky Wild,1492.3413104306196
Blues,1492.4535349323935
Hatoyan,1519.4046518891728
Buttobi,1499.8431658542518
Rare,1497.5908098017724
Spike,1479.20906656373
