Character,Rating
Kyanta,1411.034042242086
Anna,1402.943665146768
Myusha,1467.1002049976103
Dr. K,1464.3707440867313
Masako,1514.3087825336777
Natanee,1426.397106529374
Garasha,1626.4556569484737
Michelle,1323.9911790099793
Jakor,1519.1120451443767
Robo Azuma,1599.4956400621031
Masao,1379.3310363213693
K. Kyanta,1326.7970354771699
Nanatsu,1546.8661222862706
Azuma,1587.1817116247012
M. Michelle,1618.6382674862132
Chihiro,1583.010009258892
Rogue,1531.9461222204052
Cocorn,1442.6428474094048
Zacky Wild,1487.1334756361205
Blues,1487.3141955051185
Hatoyan,1642.0569815662636
Buttobi,1469.5860475857403
Rare,1607.2226706164677
Spike,1535.0644103046836
