Player-Character,Rating
Pnuema-Kyanta,1484.9008753858848
Timestop-Anna,1436.6572693777182
Timestop-Myusha,1437.420897330385
Timestop-Dr. K,1438.1697794947427
Pnuema-Myusha,1485.194271810983
Pnuema-Masako,1541.5965703044126
Valentine-Natanee,1459.2854832692963
Parappa-Garasha,1500.384773693278
Parappa-Michelle,1501.311017167228
Parappa-Natanee,1501.0580016834347
Valentine-Myusha,1458.6428155038523
Valentine-Jakor,1456.9610867577865
Squid-Robo Azuma,1418.266038542658
Dcint-Masao,1575.8689441045997
Squid-Garasha,1419.3298229654106
Squid-Michelle,1420.3770861260082
Dcint-K. Kyanta,1575.3231655342872
Dcint-Michelle,1574.7857302194082
Jawn-Nanatsu,1549.2933622914163
Jawn-Robo Azuma,1549.036731862027
Jawn-Natanee,1567.7471588270575
Pnuema-Dr. K,1456.3229624846063
Cosmic-Azuma,1561.526243884274
Cosmic-M. Michelle,1520.4717742639575
Cosmic-Garasha,1557.7613993326663
Poke-Chihiro,1586.572760814895
Tension-Rogue,1466.5696237860598
Tension-Masao,1474.5116810745487
Tension-Cocorn,1472.1588090644675
Poke-Garasha,1535.2664643462347
Poke-Jakor,1534.9601431137798
Tension-Zacky Wild,1485.7136561354512
Tension-Blues,1486.1135890011894
Tension-Hatoyan,1496.0401001835103
Poke-Kyanta,1466.096086231405
Valentine-Masako,1499.005724972631
Tension-Buttobi,1498.5591707128165
Jawn-Rare,1501.51465011266
Cosmic-Spike,1467.568981825132
Cosmic-Hatoyan,1541.313976294494
Cosmic-Dr. K,1540.3413201133462
