Timestamp,Player1,Player2,P1Result,P2Result
9/27/2023,D-Cint,Gravfu,1.00,0.00
9/27/2023,Tension,Squid,1.00,0.00
9/27/2023,Jawn,Parappa,1.00,0.00
9/27/2023,Cosmic,Valentine,1.00,0.00
9/27/2023,Gravfu,Squid,0.67,0.33
9/27/2023,Parappa,Valentine,0.33,0.67
9/27/2023,D-Cint,Tension,0.67,0.33
9/27/2023,Jawn,Cosmic,0.00,1.00
9/27/2023,Jawn,Gravfu,0.00,1.00
9/27/2023,Tension,Valentine,0.33,0.67
9/27/2023,Gravfu,Valentine,1.00,0.00
9/27/2023,D-Cint,Cosmic,0.60,0.40
9/27/2023,Cosmic,Gravfu,0.75,0.25
9/27/2023,D-Cint,Cosmic,0.60,0.40
10/2/2023,Valentine,Parappa,0.67,0.33
10/2/2023,Poke,Trickster,1.00,0.00
10/2/2023,D-Cint,Valentine,1.00,0.00
10/2/2023,Boog,Tension,0.33,0.67
10/2/2023,Cosmic,Poke,1.00,0.00
10/2/2023,Jawn,Squid,1.00,0.00
10/2/2023,Squid,Parappa,0.00,1.00
10/2/2023,Boog,Trickster,1.00,0.00
10/2/2023,Parappa,Poke,0.00,1.00
10/2/2023,Boog,Valentine,1.00,0.00
10/2/2023,D-Cint,Tension,1.00,0.00
10/2/2023,Cosmic,Jawn,0.00,1.00
10/2/2023,Tension,Poke,0.00,1.00
10/2/2023,Cosmic,Boog,0.67,0.33
10/2/2023,D-Cint,Jawn,0.75,0.25
10/2/2023,Poke,Cosmic,0.00,1.00
10/2/2023,Jawn,Cosmic,0.75,0.25
10/2/2023,D-Cint,Jawn,0.00,1.00
10/2/2023,Jawn,D-Cint,1.00,0.00
10/11/2023,Boog,Squid,1.00,0.00
10/11/2023,Jawn,Tension,1.00,0.00
10/11/2023,Cosmic,Parappa,1.00,0.00
10/11/2023,D-Cint,Boog,0.25,0.75
10/11/2023,Jawn,Cosmic,1.00,0.00
10/11/2023,Tension,Parappa,0.40,0.60
10/11/2023,Cosmic,Squid,0.25,0.75
10/11/2023,D-Cint,Parappa,0.75,0.25
10/11/2023,Boog,Jawn,0.25,0.75
10/11/2023,Squid,D-Cint,0.25,0.75
10/11/2023,Boog,D-Cint,0.25,0.75
10/11/2023,Jawn,D-Cint,0.00,1.00
10/11/2023,D-Cint,Jawn,0.00,1.00
10/18/2023,Squid,Parappa,0.40,0.60
10/18/2023,D-Cint,Tension,0.25,0.75
10/18/2023,Cosmic,Poke,0.75,0.25
10/18/2023,Jawn,Parappa,0.75,0.25
10/18/2023,Tension,Cosmic,1.00,0.00
10/18/2023,D-Cint,Poke,1.00,0.00
10/18/2023,Cosmic,Squid,1.00,0.00
10/18/2023,Parappa,D-Cint,0.25,0.75
10/18/2023,Jawn,Tension,0.75,0.25
10/18/2023,Cosmic,D-Cint,0.00,1.00
10/18/2023,Tension,D-Cint,0.40,0.60
10/18/2023,Jawn,D-Cint,0.25,0.75
10/18/2023,D-Cint,Jawn,0.75,0.25
10/25/2023,D-Cint,Poke,0.40,0.60
10/25/2023,Cosmic,Squid,1.00,0.00
10/25/2023,Jawn,Tension,0.40,0.60
10/25/2023,Boog,Parappa,1.00,0.00
10/25/2023,D-Cint,Squid,1.00,0.00
10/25/2023,Jawn,Parappa,1.00,0.00
10/25/2023,Poke,Cosmic,0.40,0.60
10/25/2023,Tension,Boog,0.60,0.40
10/25/2023,Boog,D-Cint,0.75,0.25
10/25/2023,Poke,Jawn,0.75,0.25
10/25/2023,Cosmic,Tension,0.25,0.75
10/25/2023,Boog,Poke,0.60,0.40
10/25/2023,Cosmic,Boog,0.00,1.00
10/25/2023,Tension,Boog,0.40,0.60
10/25/2023,Boog,Tension,0.75,0.25
10/28/2023,Tension,Poke,0.75,0.25
10/28/2023,Jawn,Dwarl,0.75,0.25
10/28/2023,Cosmic,Squid,1.00,0.00
10/28/2023,Dwarl,Squid,1.00,0.00
10/28/2023,D-Cint,Tension,0.60,0.40
10/28/2023,Jawn,Cosmic,0.75,0.25
10/28/2023,Cosmic,Poke,0.75,0.25
10/28/2023,Tension,Dwarl,0.60,0.40
10/28/2023,Cosmic,Tension,0.25,0.75
10/28/2023,D-Cint,Jawn,0.40,0.60
10/28/2023,D-Cint,Tension,1.00,0.00
10/28/2023,Jawn,D-Cint,1.00,0.00
11/1/2023,D-Cint,Trickster,0.75,0.25
11/1/2023,Cosmic,Tension,0.40,0.60
11/1/2023,Jawn,Squid,1.00,0.00
11/1/2023,Boog,Parappa,1.00,0.00
11/1/2023,Trickster,Cosmic,0.00,1.00
11/1/2023,Squid,Parappa,1.00,0.00
11/1/2023,D-Cint,Tension,0.25,0.75
11/1/2023,Jawn,Boog,0.75,0.25
11/1/2023,Boog,Cosmic,1.00,0.00
11/1/2023,D-Cint,Squid,0.75,0.25
11/1/2023,Tension,Jawn,0.75,0.25
11/1/2023,Boog,D-Cint,0.40,0.60
11/1/2023,Jawn,D-Cint,0.40,0.60
11/1/2023,Tension,D-Cint,0.60,0.40
11/8/2023,Squid,Parappa,0.75,0.25
11/8/2023,D-Cint,Squid,1.00,0.00
11/8/2023,Tension,Cosmic,0.75,0.25
11/8/2023,Jawn,Poke,1.00,0.00
11/8/2023,Boog,Valentine,1.00,0.00
11/8/2023,Valentine,Parappa,0.00,1.00
11/8/2023,Parappa,Poke,0.00,1.00
11/8/2023,Cosmic,Squid,0.75,0.25
11/8/2023,D-Cint,Tension,0.00,1.00
11/8/2023,Jawn,Boog,0.60,0.40
11/8/2023,D-Cint,Poke,0.75,0.25
11/8/2023,Boog,Cosmic,0.00,1.00
11/8/2023,D-Cint,Cosmic,0.00,1.00
11/8/2023,Tension,Jawn,0.25,0.75
11/8/2023,Tension,Cosmic,0.00,1.00
11/8/2023,Jawn,Cosmic,0.40,0.60
11/8/2023,Cosmic,Jawn,0.40,0.60
11/11/2023,Poke,Parappa,0.75,0.25
11/11/2023,Tension,Squid,1.00,0.00
11/11/2023,Jawn,Poke,0.40,0.60
11/11/2023,Cosmic,Tension,0.25,0.75
11/11/2023,Cosmic,Parappa,1.00,0.00
11/11/2023,Jawn,Squid,1.00,0.00
11/11/2023,Cosmic,Jawn,0.00,1.00
11/11/2023,Poke,Tension,0.40,0.60
11/11/2023,Poke,Jawn,0.40,0.60
11/11/2023,Tension,Jawn,0.40,0.60
11/11/2023,Jawn,Tension,0.75,0.25
11/29/2023,Cosmic,D-Cint,0.40,0.60
11/29/2023,Jawn,Parappa,1.00,0.00
11/29/2023,Tension,Squid,0.75,0.25
11/29/2023,Parappa,Squid,1.00,0.00
11/29/2023,Jawn,Tension,1.00,0.00
11/29/2023,Tension,Cosmic,0.00,1.00
11/29/2023,Cosmic,Parappa,0.75,0.25
11/29/2023,D-Cint,Jawn,0.25,0.75
11/29/2023,D-Cint,Cosmic,0.60,0.40
11/29/2023,Jawn,D-Cint,0.25,0.75
11/29/2023,D-Cint,Jawn,0.40,0.60
1/3/2024,D-Cint,Jawn,0.60,0.40
1/3/2024,Squid,D-Cint,0.25,0.75
1/3/2024,Boog,Poke,0.40,0.60
1/3/2024,Parappa,Tension,0.00,1.00
1/3/2024,Valentine,Cosmic,0.00,1.00
1/3/2024,Valentine,Jawn,0.00,1.00
1/3/2024,Jawn,Parappa,0.75,0.25
1/3/2024,Boog,Squid,1.00,0.00
1/3/2024,D-Cint,Poke,1.00,0.00
1/3/2024,Tension,Cosmic,0.25,0.75
1/3/2024,Poke,Jawn,0.40,0.60
1/3/2024,Tension,Boog,0.40,0.60
1/3/2024,D-Cint,Cosmic,0.00,1.00
1/3/2024,Jawn,Boog,0.75,0.25
1/3/2024,D-Cint,Jawn,0.40,0.60
1/3/2024,Cosmic,Jawn,0.00,1.00
1/3/2024,Jawn,Cosmic,0.25,0.75
3/6/2024,Squid,Jawn,0.60,0.40
3/6/2024,Boog,Tension,0.25,0.75
3/6/2024,Parappa,Cosmic,0.25,0.75
3/6/2024,Poke,D-Cint,0.00,1.00
3/6/2024,Jawn,Boog,1.00,0.00
3/6/2024,Parappa,Poke,1.00,0.00
3/6/2024,Squid,Tension,0.00,1.00
3/6/2024,Cosmic,D-Cint,0.40,0.60
3/6/2024,Cosmic,Jawn,0.40,0.60
3/6/2024,Squid,Parappa,0.25,0.75
3/6/2024,Jawn,Parappa,0.60,0.40
3/6/2024,Tension,D-Cint,0.00,1.00
3/6/2024,Tension,Jawn,0.40,0.60
3/6/2024,D-Cint,Jawn,0.40,0.60
3/6/2024,Jawn,D-Cint,1.00,0.00
5/8/2024,D-Cint,Jawn,0.40,0.60
5/8/2024,Valentine,Jawn,0.00,1.00
5/8/2024,Parappa,Poke,1.00,0.00
5/8/2024,Squid,Cosmic,0.25,0.75
5/8/2024,Gravfu,Tension,0.00,1.00
5/8/2024,Gravfu,D-Cint,0.00,1.00
5/8/2024,D-Cint,Squid,1.00,0.00
5/8/2024,Poke,Valentine,1.00,0.00
5/8/2024,Jawn,Parappa,0.75,0.25
5/8/2024,Cosmic,Tension,0.60,0.40
5/8/2024,Parappa,D-Cint,0.75,0.25
5/8/2024,Tension,Poke,0.40,0.60
5/8/2024,Jawn,Cosmic,0.75,0.25
5/8/2024,Parappa,Poke,0.75,0.25
5/8/2024,Cosmic,Parappa,1.00,0.00
5/8/2024,Jawn,Cosmic,0.25,0.75
5/8/2024,Cosmic,Jawn,0.60,0.40
6/5/2024,Tension,D-Cint,0.75,0.25
6/5/2024,Poke,Jawn,0.00,1.00
6/5/2024,Parappa,Cosmic,0.00,1.00
6/5/2024,Pnuema,Tension,0.00,1.00
6/5/2024,Squid,Boog,0.40,0.60
6/5/2024,Valentine,Jawn,0.00,1.00
