Date,Bracket,Set,Player,Character 1,Groove 1,Character 2,Groove 2,Character 3,Groove 3,Wins,Matches
5/21/2025,20,1,Pnuema,Kyanta,EX,Myusha,EX,Masako,Stamina,3,3
5/21/2025,20,1,Timestop,Anna,EX,Myusha,EX,Dr. K,EX,0,3
5/21/2025,20,2.1,Valentine,Natanee,Demon,Myusha,Speed,Jakor,Stamina,2,4
5/21/2025,20,2.1,Parappa,Garasha,Stamina,Michelle,EX,Natanee,Stamina,2,4
5/21/2025,20,2.2,Valentine,Natanee,Stamina,Jakor,Stamina,Myusha,EX,1,1
5/21/2025,20,2.2,Parappa,Garasha,Stamina,Michelle,EX,Natanee,Stamina,0,1
5/21/2025,20,3,Squid,Robo Azuma,Stamina,Garasha,Stamina,Michelle,Stamina,0,3
5/21/2025,20,3,Dcint,Masao,Stamina,K. Kyanta,Stamina,Michelle,Stamina,3,3
5/21/2025,20,4,Pnuema,Kyanta,EX,Myusha,Stamina,Dr. K,EX,1,4
5/21/2025,20,4,Jawn,Nanatsu,Stamina,Robo Azuma,EX,Natanee,Stamina,3,4
5/21/2025,20,5,Valentine,Natanee,Demon,Myusha,EX,Jakor,Stamina,1,4
5/21/2025,20,5,Cosmic,Azuma,EX,M. Michelle,EX,Garasha,Stamina,3,4
5/21/2025,20,6.1,Poke,Chihiro,Stamina,Garasha,EX,Jakor,EX,2,2
5/21/2025,20,6.1,Tension,Rogue,Demon,Masao,Stamina,Cocorn,Parry,0,2
5/21/2025,20,6.2,Poke,Chihiro,Stamina,Garasha,EX,Jakor,EX,1,1
5/21/2025,20,6.2,Tension,Zacky Wild,Stamina,Rogue,Demon,Blues,Stamina,0,1
5/21/2025,20,7,Tension,Masao,Stamina,Rogue,Demon,Hatoyan,Demon,3,4
5/21/2025,20,7,Timestop,Anna,EX,Myusha,EX,Dr. K,EX,1,4
5/21/2025,20,8,Squid,Robo Azuma,Stamina,Garasha,Stamina,Michelle,Stamina,0,3
5/21/2025,20,8,Parappa,Michelle,Stamina,Garasha,Stamina,Natanee,Demon,3,3
5/21/2025,20,9,Dcint,Masao,Stamina,K. Kyanta,Stamina,Michelle,Stamina,3,5
5/21/2025,20,9,Jawn,Nanatsu,Stamina,Robo Azuma,EX,Natanee,Stamina,2,5
5/21/2025,20,10.1,Cosmic,M. Michelle,EX,Azuma,EX,Garasha,Stamina,2,3
5/21/2025,20,10.1,Poke,Kyanta,Stamina,Garasha,Stamina,Jakor,EX,1,3
5/21/2025,20,10.2,Cosmic,M. Michelle,EX,Azuma,EX,Garasha,Stamina,1,1
5/21/2025,20,10.2,Poke,Kyanta,Stamina,Garasha,EX,Jakor,Stamina,0,1
5/21/2025,20,11.1,Tension,Masao,Stamina,Rogue,Demon,Hatoyan,Demon,1,3
5/21/2025,20,11.1,Valentine,Natanee,Demon,Myusha,Stamina,Masako,Stamina,2,3
5/21/2025,20,11.2,Valentine,Natanee,Demon,Myusha,Stamina,Masako,Stamina,0,1
5/21/2025,20,11.2,Tension,Cocorn,Stamina,Rogue,Demon,Buttobi,Stamina,1,1
5/21/2025,20,11.3,Valentine,Jakor,Stamina,Natanee,Demon,Myusha,EX,1,1
5/21/2025,20,11.3,Tension,Cocorn,Stamina,Rogue,Demon,Buttobi,Stamina,0,1
5/21/2025,20,12,Parappa,Garasha,Stamina,Michelle,Stamina,Natanee,Demon,3,4
5/21/2025,20,12,Pnuema,Kyanta,EX,Myusha,Stamina,Dr. K,EX,1,4
5/21/2025,20,13,Jawn,Nanatsu,Stamina,Robo Azuma,EX,Natanee,Stamina,3,3
5/21/2025,20,13,Valentine,Jakor,Stamina,Myusha,EX,Natanee,Demon,0,3
5/21/2025,20,14,Poke,Chihiro,Stamina,Garasha,EX,Jakor,EX,3,3
5/21/2025,20,14,Parappa,Garasha,Stamina,Michelle,Stamina,Natanee,Demon,0,3
5/21/2025,20,15,Jawn,Nanatsu,Stamina,Robo Azuma,EX,Rare,EX,3,4
